,count,mean,std,min,25%,50%,75%,max
AccZ_centered_mad,9109.0,0.7352164903235843,0.1899703455897834,0.005292072892189005,0.6188245713710785,0.7781510353088379,0.8769852519035339,1.3002595901489258
AccZ_centered_min,9109.0,-1.9444212596494714,0.5852596322867385,-11.603610940065133,-2.134609297805362,-1.920554452388237,-1.698632039308548,-0.029789382446366888
AccZ_centered_p25,9109.0,-1.0621335252232613,0.2627734204543891,-1.596847498582469,-1.2159905474384627,-1.094912555111779,-0.9521813972809663,0.07448030736049016
AccZ_centered_median,9109.0,-0.4873604984069752,0.2855195964230154,-1.2564415671833686,-0.6404691886007785,-0.4829732648332914,-0.3333288483818372,0.48973743458237085
AccZ_centered_p75,9109.0,0.905094763223849,0.2567923038739876,-0.3338435362401456,0.796574589341879,0.9587162138024967,1.0744262331856622,1.7297807937570744
AccZ_centered_max,9109.0,3.9867987150580864,1.386279077514699,-0.09612195210909068,3.201425803653896,3.818382574790054,4.685932005859083,13.846854997455814
AccZ_centered_iqr,9109.0,1.9672282884471104,0.466676832775242,0.010551527142524698,1.82338285446167,2.0607632994651794,2.2680451720952988,2.941191554069519
AccZ_centered_rms,9109.0,1.4052985186966271,0.37039414379412033,0.009745301421326732,1.2364484011399535,1.4095683623207886,1.592438327655802,2.465428009902592
AccZ_centered_skew,9109.0,0.7765381038855067,0.39949778860362933,-1.7481449943568599,0.6093477128931162,0.7757944465261043,0.9994213073663595,5.144404404108242
AccZ_centered_kurt,9109.0,-0.177448479458845,1.4255177377521142,-1.3793252527230415,-0.7342726291628892,-0.47902408903996907,0.018083278016867155,52.73074335352926
AccZ_centered_nan_frac,9109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acc_mag_mean,9109.0,1.5507664791565063,0.32620323901680065,0.014162488437109072,1.4245840036182742,1.5846561110062674,1.7311493346772187,2.3898708921205944
Acc_mag_std,9109.0,0.7428796126055264,0.2485479884222136,0.006074905702320069,0.590658722056582,0.705513793632406,0.8670564475438285,2.0715693967133197
Acc_mag_mad,9109.0,0.33961350173871885,0.08009217277939722,0.003802591689462612,0.29199860649384884,0.33850000577526296,0.3897304683438031,0.7573254492623889
Acc_mag_min,9109.0,0.38831903230396414,0.17251366607407695,0.0007349873902208639,0.274962800939775,0.39309793536915927,0.4992440077410521,0.9267060298243474
Acc_mag_median,9109.0,1.369802116382561,0.2512084530802366,0.013540035593145885,1.300297965522616,1.4199461437139775,1.5139670494533026,2.099813676133692
Acc_mag_max,9109.0,4.4454273315316515,1.4743759229475089,0.03452568964105269,3.5937763304463957,4.277262817810767,5.142977988777187,25.464691390258576
Acc_mag_iqr,9109.0,0.7078347550804046,0.16195588835563604,0.00759114688848803,0.6161863567543768,0.7031796868262168,0.8094794496901027,1.4678593485826548
Acc_mag_rms,9109.0,1.7235896354871525,0.39108242923491776,0.015642799852172064,1.5555917454180181,1.7341156522200394,1.9264642410158752,2.8571499493420554
Acc_mag_skew,9109.0,1.2415297394749731,0.530034334146793,-0.7686829368256216,0.9856129534810847,1.231767619213435,1.5259844888356096,11.672527927467923
Acc_mag_kurt,9109.0,1.7788348722965694,3.539578882036059,-1.1298498667704195,0.788063855785877,1.3850249751525734,2.2041540088424343,150.33500234209214
Acc_mag_nan_frac,9109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vtr_mean,9109.0,0.1334667159434041,0.02958431765294948,0.001624805391389521,0.11279025466681629,0.13040782034792392,0.15068590681962638,0.31877106663105576
